name,fit_state,warnings,star_mask_used,noise_mask_used,chirality_maj,chirality_alenWtd,chirality_wtdPangSum,chirality_longestArc,badBulgeFitFlag,bulgeAxisRatio,bulgeMajAxsLen,bulgeMajAxsAngle,bulgeAvgBrt,bulgeDiskBrtRatio,numElpsRefits,diskAxisRatio,diskMinAxsLen,diskMajAxsLen,diskMajAxsAngleRadians,inputCenterR,inputCenterC,iptSz,muDist,muDistProp,covarFit,cropRad,wtdLik,likOfCtr,brtUnifScore,gaussLogLik,contourBrtRatio,standardizedCenterR,standardizedCenterC,hasDeletedCtrClus,failed2revDuringMergeCheck,failed2revDuringSecondaryMerging,failed2revInOutput,fitQualityF1,fitQualityPCC,cpu_time,wall_time,bar_candidate_available,bar_used,alenAt25pct,alenAt50pct,alenAt75pct,rankAt25pct,rankAt50pct,rankAt75pct,avgArcLength,minArcLength,lowerQuartileArcLength,medianArcLength,upperQuartileArcLength,maxArcLength,totalArcLength,totalNumArcs,chirality_votes_maj,chirality_votes_alenWtd,alenWtdPangSum,top2_chirality_agreement,pa_longest,pa_avg,pa_avg_abs,pa_avg_domChiralityOnly,pa_alenWtd_avg,paErr_alenWtd_stdev,pa_alenWtd_avg_abs,paErr_alenWtd_stdev_abs,pa_alenWtd_avg_domChiralityOnly,paErr_alenWtd_stdev_domChiralityOnly,pa_totBrtWtd,pa_avgBrtWtd,pa_alenWtd_median,pa_alenWtd_lowQuartile,pa_alenWtd_highQuartile,pa_alenWtd_lowDecile,pa_alenWtd_highDecile,pa_alenWtd_median_domChiralityOnly,pa_alenWtd_lowQuartile_domChiralityOnly,pa_alenWtd_highQuartile_domChiralityOnly,pa_alenWtd_lowDecile_domChiralityOnly,pa_alenWtd_highDecile_domChiralityOnly,sorted_agreeing_pangs,sorted_agreeing_arclengths,numArcs_largest_length_gap,numDcoArcs_largest_length_gap,numArcs_arclength_function_flattening,numDcoArcs_arclength_function_flattening,bar_score_img,bar_cand_score_orifld,bar_angle_input_img,bar_half_length_input_img,bar_angle_standardized_img,bar_half_length_standardized_img,numArcsGE000,numArcsGE010,numArcsGE020,numArcsGE040,numArcsGE050,numArcsGE055,numArcsGE060,numArcsGE065,numArcsGE070,numArcsGE075,numArcsGE080,numArcsGE085,numArcsGE090,numArcsGE095,numArcsGE100,numArcsGE120,numArcsGE140,numArcsGE160,numArcsGE180,numArcsGE200,numArcsGE220,numArcsGE240,numArcsGE260,numArcsGE280,numArcsGE300,numArcsGE350,numArcsGE400,numArcsGE450,numArcsGE500,numArcsGE550,numArcsGE600,numDcoArcsGE000,numDcoArcsGE010,numDcoArcsGE020,numDcoArcsGE040,numDcoArcsGE050,numDcoArcsGE055,numDcoArcsGE060,numDcoArcsGE065,numDcoArcsGE070,numDcoArcsGE075,numDcoArcsGE080,numDcoArcsGE085,numDcoArcsGE090,numDcoArcsGE095,numDcoArcsGE100,numDcoArcsGE120,numDcoArcsGE140,numDcoArcsGE160,numDcoArcsGE180,numDcoArcsGE200,numDcoArcsGE220,numDcoArcsGE240,numDcoArcsGE260,numDcoArcsGE280,numDcoArcsGE300,numDcoArcsGE350,numDcoArcsGE400,numDcoArcsGE450,numDcoArcsGE500,numDcoArcsGE550,numDcoArcsGE600
IC1683_g,OK,findClusterArcs:deletedAClusterThatIntersectedTheCenter:size=1890|,FAIL,none,S-wise,S-wise,S-wise,Z-wise,FALSE,0.7713163023,13.14848374,1.438395889,0.9158342582,3.060869323,6,0.5636292281,96.46809552,171.1552395,-1.254300287,124.212058,125.1481002,[240 240],5.948462857,0.04957052381,[101.2182219 -53.22812579;-53.22812579 246.3118155],86,0.6102549969,0.0009810083502,0.3129411765,-2574343.535,1.203782581,128.0356698,128.2525858,TRUE,FALSE,FALSE,FALSE,',',20.95,7.946911,FALSE,FALSE,103.8280473,100.2472564,73.10808321,2,3,4,60.47405029,18.46701127,24.26807178,52.21134609,102.0376519,108.2912516,483.7924024,8,[6 2],[349.6655022 134.1269002],469.2426935,disagree',-14.69580769,3.426219693,12.83832505,10.84302983,0.9699257185,12.4593237,10.00034067,7.494577348,7.5891552,7.257892115,6.962366386,10.89662402,2.469268093,-14.69580769,7.266584087,-14.69580769,22.11084832,6.254175833,1.455031623,7.266584087,1.455031623,22.11084832,[1.455031623 7.266584087 6.254175833 22.11084832 25.50227103 2.469268093],[103.8280473 100.2472564 73.10808321 31.31460897 22.70049501 18.46701127],4,3,1,0,0.9328,8.6817,224.6339,19.5977,26.5,29,8,8,7,4,4,4,4,4,4,3,3,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,5,3,3,3,3,3,3,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IC1683_i,OK,(no warnings),FAIL,none,Z-wise,Z-wise,S-wise,Z-wise,FALSE,0.8081934598,13.16182036,-1.5476068,0.9229484386,2.961010634,6,0.5948924986,100.5830946,169.0777659,-1.252593894,124.2703771,125.3281624,[240 240],6.125919976,0.05104933314,[107.6102234 -49.52866006;-49.52866006 241.6579317],85,0.6460362375,0.0009470778037,0.2819607843,-2452380.422,1.176603705,127.8180426,128.5276091,FALSE,FALSE,FALSE,FALSE,',',16.05,6.811371,FALSE,FALSE,103.1828309,79.59646059,77.53734815,1,2,3,65.67023051,26.84158486,37.60509226,77.53734815,85.49305316,103.1828309,328.3511525,5,[2 3],[118.7302762 209.6208763],1030.006095,agree',-0.2522200462,5.967953851,13.07272483,-5.920642479,3.136904155,15.76353423,11.3629851,11.36713459,-6.442686448,7.639905993,-4.17260052,-5.104751219,-0.2522200462,11.54714824,-1.311991215,36.05454846,-16.19771618,-1.311991215,-0.2522200462,-16.19771618,-0.2522200462,-16.19771618,[-0.2522200462 -16.19771618 -1.311991215],[103.1828309 79.59646059 26.84158486],3,2,1,0,1.0158,7.1715,228.2317,22.7109,30,34,5,5,5,4,3,3,3,3,3,3,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,2,2,2,2,2,2,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IC1683_r,OK,findClusterArcs:deletedAClusterThatIntersectedTheCenter:size=1700|,FAIL,none,S-wise,S-wise,S-wise,S-wise,FALSE,0.7669909122,13.60452515,1.509250948,0.9218954248,3.012456275,6,0.5834967967,101.1614922,173.3711183,-1.255663393,124.2087188,125.2297887,[240 240],6.010448923,0.05008707436,[109.7970633 -52.84235792;-52.84235792 254.6655031],87,0.6319058999,0.0009219308988,0.2929411765,-2405577.295,1.182143642,128.0001164,128.7453685,TRUE,FALSE,FALSE,FALSE,',',11.45,4.917146,FALSE,FALSE,93.23021402,89.23586884,54.08520932,1,2,3,62.16125818,33.85819641,38.76215082,54.08520932,90.23445513,93.23021402,310.8062909,5,[3 2],[187.7122256 123.0940652],828.0187243,disagree',10.40183813,4.912595754,14.14538898,15.88165394,2.664098986,16.19541596,13.50376625,9.329373976,13.3850478,11.49782353,17.10593576,18.3354476,2.795680452,-16.30628432,10.40183813,-16.30628432,34.44744324,10.40183813,2.795680452,10.40183813,2.795680452,34.44744324,[10.40183813 2.795680452 34.44744324],[93.23021402 54.08520932 40.3968023],2,1,0,0,0.9348,7.8932,225.0558,22.5586,27,33,5,5,5,4,3,2,2,2,2,2,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,2,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IC1683_y,OK,lgspFitting:highErrPerLenForLongArc:740.71|,FAIL,none,EQ,EQ,EQ,EQ,FALSE,0.8051896588,12.51189013,-1.552006419,0.920657556,2.878079103,6,0.6347775396,89.33358558,140.7321148,-1.222157639,124.3088518,125.5804428,[240 240],6.34966541,0.05291387842,[82.53119443 -33.47465275;-33.47465275 162.4568421],71,0.6589511546,0.001255512764,0.3098039216,-3142895.641,1.151357597,129.0564317,127.6185305,FALSE,FALSE,FALSE,FALSE,',',12.44,4.880347,FALSE,FALSE,131.767971,131.767971,131.767971,1,1,1,131.767971,131.767971,131.767971,131.767971,131.767971,131.767971,131.767971,1,[0 0],[0 0],0,<2 arcs',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,131.767971,0,0,0,0,1.1539,5.3563,230.9755,14.5234,31,37,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IC1683_z,OK,(no warnings),FAIL,none,EQ,S-wise,S-wise,EQ,FALSE,0.8122198126,13.19062643,1.505895039,0.923030303,2.912357801,6,0.6062153706,93.83101567,154.7816506,-1.234633725,124.3709464,125.4968982,[240 240],6.320855826,0.05267379855,[93.18520881 -42.06556145;-42.06556145 198.8714905],78,0.6567885882,0.001097384118,0.2992156863,-2802693.482,1.161645244,128.2428469,128.9430973,FALSE,FALSE,FALSE,FALSE,',',11.69,4.955249,FALSE,FALSE,126.7253188,64.9824813,61.24765336,1,2,3,62.48006261,27.49822682,30.83453127,61.24765336,80.41819068,126.7253188,312.400313,5,[2 2],[93.19428612 92.48070812],241.6275088,disagree',0,1.924262223,16.99776776,23.65253748,0.773454759,15.77132388,11.12782701,11.20287263,19.94738254,11.18692931,24.55435229,25.84789794,0,-15.50298623,11.86798996,-15.50298623,35.43708501,11.86798996,11.86798996,35.43708501,11.86798996,35.43708501,[11.86798996 35.43708501],[61.24765336 31.94663276],1,1,1,0,1.0205,6.4887,226.2607,19.0117,27,32,5,5,5,3,3,3,3,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IC1755_g,OK,findClusterArcs:deletedAClusterThatIntersectedTheCenter:size=1726|,none,none,Z-wise,Z-wise,S-wise,Z-wise,FALSE,0.8853264361,13.46045137,-1.217455819,0.9275590551,2.647480702,7,0.3127616744,69.23407198,221.3636697,-1.120357933,152.2635116,151.602009,[300 300],2.079518491,0.01386345661,[117.9153678 -155.1031591;-155.1031591 363.6369949],111,0.7081346264,0.001157508376,0.3019607843,-9243788.192,1.057297764,128.40186,128.5248398,TRUE,FALSE,FALSE,FALSE,',',14.78,6.282792,FALSE,FALSE,90.72781112,53.97265319,42.51361995,2,4,6,48.09467266,10.82051139,28.54679145,42.51361995,58.99367918,106.3864388,529.0413993,11,[5 6],[250.7481643 278.293235],1517.364157,disagree',-12.91761485,1.536066408,24.47449854,-21.02689612,2.868138787,23.5152238,20.27642363,12.24984144,-16.54676114,8.122886147,-16.82303892,-19.85418503,-5.997082427,11.38102519,-12.91761485,40.52823799,-22.32668766,-12.91761485,-12.91761485,-17.60507671,-5.997082427,-28.25311726,[-12.91761485 -17.60507671 -5.997082427 -22.32668766 -39.06179785 -28.25311726],[106.3864388 60.66735451 42.51361995 39.43906945 18.4662409 10.82051139],2,1,2,2,0.4078,6.9549,212.3082,34.8438,6.5,40,11,11,9,6,4,3,3,2,2,2,2,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,4,3,2,2,2,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IC1755_i,OK,findClusterArcs:deletedAClusterThatIntersectedTheCenter:size=1586|,none,none,EQ,Z-wise,S-wise,Z-wise,FALSE,0.8278139747,12.72321969,-1.113319049,0.9286647993,2.626520804,7,0.2966045407,70.00882593,236.0342352,-1.128104206,152.2948599,151.7881787,[300 300],2.209281901,0.01472854601,[128.0825017 -177.0871348;-177.0871348 417.6738151],119,0.7084634879,0.001066979592,0.2745098039,-8936762.957,1.053422905,128.7846388,128.4230207,TRUE,FALSE,FALSE,FALSE,',',8.77,4.296221,FALSE,FALSE,81.46473404,56.93321282,39.17107702,1,2,4,45.0562792,16.8562379,29.66799259,42.70774892,56.93321282,81.46473404,270.3376752,6,[3 3],[112.9605277 157.3771474],1228.712174,one-long',-18.44887625,9.681414356,20.86066658,-11.17925222,4.545101502,23.89085703,20.5638855,12.98297385,-13.75828987,6.085160827,-14.36384724,-11.36011799,-2.139720237,18.75844613,-18.44887625,49.19135017,-18.44887625,-18.44887625,-12.94916018,-18.44887625,-2.139720237,-18.44887625,[-18.44887625 -12.94916018 -2.139720237],[81.46473404 46.24442082 29.66799259],1,1,2,0,0.9237,7.7486,0.8644,21.4727,155.5,23,6,6,5,3,2,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,2,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IC1755_y,OK,(no warnings),none,none,EQ,Z-wise,S-wise,Z-wise,FALSE,0.8990022887,10.78234939,-1.302152493,0.9268131349,2.786742438,7,0.342468728,65.41312222,191.0046578,-1.139946062,152.2701152,151.8134654,[300 300],2.204200335,0.0146946689,[87.21212956 -107.6975965;-107.6975965 272.0120868],96,0.6958066265,0.001439592995,0.3019607843,-10589192.35,1.066955803,128.8684007,127.961197,FALSE,FALSE,FALSE,FALSE,',',6.76,3.484521,FALSE,FALSE,95.79013543,95.79013543,36.56250784,1,1,2,66.17632163,36.56250784,36.56250784,66.17632163,95.79013543,95.79013543,132.3526433,2,[1 1],[36.56250784 95.79013543],1755.551585,one-long',-1.982314539,25.61311414,27.59542867,-1.982314539,13.26419739,24.67816725,16.13359499,22.90541386,-1.982314539,0,-1.982314539,-1.982314539,-1.982314539,53.20854281,-1.982314539,53.20854281,-1.982314539,-1.982314539,-1.982314539,-1.982314539,-1.982314539,-1.982314539,-1.982314539,95.79013543,1,0,0,0,0.8938,6.6101,208.1859,18.0938,3.5,24,2,2,2,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IC1755_z,OK,findClusterArcs:deletedAClusterThatIntersectedTheCenter:size=1577|,none,none,EQ,Z-wise,Z-wise,Z-wise,FALSE,0.8585722237,11.46653504,-1.242104296,0.9282220753,2.67694976,7,0.3091268665,67.09666342,217.0521901,-1.13316352,152.6132417,151.797079,[300 300],2.47955729,0.01653038193,[108.3782635 -145.8383086;-145.8383086 351.8340165],109,0.7030505666,0.001220900262,0.2862745098,-9815173.938,1.055854033,128.0082903,128.6002934,TRUE,FALSE,FALSE,FALSE,',',9.81,4.647513,FALSE,FALSE,58.57757768,32.88779992,32.85535925,1,2,3,38.76758538,30.74960468,31.80248196,32.87157959,45.7326888,58.57757768,155.0703415,4,[2 2],[63.60496393 91.46537761],-528.9873332,all-short',-17.77281714,-0.4370135234,11.51163082,-11.94864434,-3.411273413,13.22660216,12.61382796,5.241291378,-13.58447321,5.589727428,-12.95588083,-10.10140892,-6.124471544,6.743151125,-17.77281714,15.40608347,-17.77281714,-17.77281714,-6.124471544,-17.77281714,-6.124471544,-17.77281714,[-17.77281714 -6.124471544],[58.57757768 32.88779992],1,1,1,0,0.9101,7.3335,356.5745,20.5312,151.5,24,4,4,4,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IC 2101_g,OK,lgspFitting:highErrPerLenForLongArc:2366.89|,FAIL,none,S-wise,S-wise,S-wise,S-wise,TRUE,0.680611801,13.13271105,-0.5597201789,0.9202898551,2.211492032,9,0.5656894088,40.46176137,71.52646088,-0.8400701716,179.4374817,186.4549411,[360 360],6.048989094,0.03360549497,[25.28973507 -13.7214769;-13.7214769 28.30247433],36,0.851102459,0.002356722307,0.5043137255,-Inf,1.011139241,127.1036369,128.0942553,FALSE,FALSE,FALSE,FALSE,',',65.7,19.232519,FALSE,FALSE,161.2708271,83.27248565,52.68781283,2,4,8,72.71288934,11.29629472,47.45450925,54.32845485,83.27248565,176.1940869,1017.980451,14,[8 6],[556.6916943 461.2887564],3211.080276,disagree',7.215025623,3.151383987,20.22810583,20.45705359,3.154363401,22.7577475,18.31275098,13.87473356,19.62765297,12.73336336,14.00365186,19.6860877,3.614524948,-8.742959803,20.75348024,-28.78192584,34.58115107,17.04835271,7.215025623,32.95524785,7.215025623,34.58115107,[7.215025623 32.95524785 34.58115107 20.75348024 3.614524948 37.21808134 17.04835271 10.27056494],[176.1940869 83.27248565 78.61829143 55.96909687 52.3973159 51.48961364 47.45450925 11.29629472],3,1,3,1,2.1022,5.2088,288.8675,36.5,67,141,14,14,13,11,10,7,5,5,5,5,4,3,3,3,3,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,7,7,6,4,3,3,3,3,2,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
