name, fit_state, warnings, star_mask_used, noise_mask_used, chirality_maj, chirality_alenWtd, chirality_wtdPangSum, chirality_longestArc, badBulgeFitFlag, bulgeAxisRatio, bulgeMajAxsLen, bulgeMajAxsAngle, bulgeAvgBrt, bulgeDiskBrtRatio, numElpsRefits, diskAxisRatio, diskMinAxsLen, diskMajAxsLen, diskMajAxsAngleRadians, inputCenterR, inputCenterC, iptSz, muDist, muDistProp, covarFit, cropRad, wtdLik, likOfCtr, brtUnifScore, gaussLogLik, contourBrtRatio, standardizedCenterR, standardizedCenterC, hasDeletedCtrClus, failed2revDuringMergeCheck, failed2revDuringSecondaryMerging, failed2revInOutput, fitQualityF1, fitQualityPCC, cpu_time, wall_time, bar_candidate_available, bar_used, alenAt25pct, alenAt50pct, alenAt75pct, rankAt25pct, rankAt50pct, rankAt75pct, avgArcLength, minArcLength, lowerQuartileArcLength, medianArcLength, upperQuartileArcLength, maxArcLength, totalArcLength, totalNumArcs, chirality_votes_maj, chirality_votes_alenWtd, alenWtdPangSum, top2_chirality_agreement, pa_longest, pa_avg, pa_avg_abs, pa_avg_domChiralityOnly, pa_alenWtd_avg, paErr_alenWtd_stdev, pa_alenWtd_avg_abs, paErr_alenWtd_stdev_abs, pa_alenWtd_avg_domChiralityOnly, paErr_alenWtd_stdev_domChiralityOnly, pa_totBrtWtd, pa_avgBrtWtd, pa_alenWtd_median, pa_alenWtd_lowQuartile, pa_alenWtd_highQuartile, pa_alenWtd_lowDecile, pa_alenWtd_highDecile, pa_alenWtd_median_domChiralityOnly, pa_alenWtd_lowQuartile_domChiralityOnly, pa_alenWtd_highQuartile_domChiralityOnly, pa_alenWtd_lowDecile_domChiralityOnly, pa_alenWtd_highDecile_domChiralityOnly, sorted_agreeing_pangs, sorted_agreeing_arclengths, numArcs_largest_length_gap, numDcoArcs_largest_length_gap, numArcs_arclength_function_flattening, numDcoArcs_arclength_function_flattening, bar_score_img, bar_cand_score_orifld, bar_angle_input_img, bar_half_length_input_img, bar_angle_standardized_img, bar_half_length_standardized_img, numArcsGE000, numArcsGE010, numArcsGE020, numArcsGE040, numArcsGE050, numArcsGE055, numArcsGE060, numArcsGE065, numArcsGE070, numArcsGE075, numArcsGE080, numArcsGE085, numArcsGE090, numArcsGE095, numArcsGE100, numArcsGE120, numArcsGE140, numArcsGE160, numArcsGE180, numArcsGE200, numArcsGE220, numArcsGE240, numArcsGE260, numArcsGE280, numArcsGE300, numArcsGE350, numArcsGE400, numArcsGE450, numArcsGE500, numArcsGE550, numArcsGE600, numDcoArcsGE000, numDcoArcsGE010, numDcoArcsGE020, numDcoArcsGE040, numDcoArcsGE050, numDcoArcsGE055, numDcoArcsGE060, numDcoArcsGE065, numDcoArcsGE070, numDcoArcsGE075, numDcoArcsGE080, numDcoArcsGE085, numDcoArcsGE090, numDcoArcsGE095, numDcoArcsGE100, numDcoArcsGE120, numDcoArcsGE140, numDcoArcsGE160, numDcoArcsGE180, numDcoArcsGE200, numDcoArcsGE220, numDcoArcsGE240, numDcoArcsGE260, numDcoArcsGE280, numDcoArcsGE300, numDcoArcsGE350, numDcoArcsGE400, numDcoArcsGE450, numDcoArcsGE500, numDcoArcsGE550, numDcoArcsGE600, 
IC2247_g, OK, lgspFitting:highErrPerLenForLongArc:1208.74|,none ,none ,Z-wise, Z-wise, S-wise, Z-wise, true, 0.5861743243, 15.07096173, -1.009259073, 0.9511653718, 2.555695666, 8, 0.2176270604, 65.20544958, 299.6201367, -1.00466304, 202.5306823, 200.8098489, [400 400], 2.054185193, 0.01027092597, [263.2362328 -353.1708569;-353.1708569 594.5003713], 150, 0.7069573077, 0.0008812137024, 0.3137254902, -Inf, 1.063827572, 128.2321132, 128.8560397, false, false, false, false, '', '', 25.03, 7.801821, false, false, 104.6293076, 81.03526362, 55.0068522, 2, 4, 8, 63.4269889, 22.24855523, 38.09483747, 62.2897459, 84.11813615, 139.0563647, 824.5508557, 13, [5 8], [341.4868488 483.0640069], 1602.422141, 'disagree', -12.69796557, -1.41934535, 25.60259585, -21.95532723, 1.943387882, 26.81946921, 22.31201053, 15.00782699, -17.38378869, 11.04191576, -14.61816723, -19.69856704, -5.756245589, 16.65148431, -12.69796557, 43.3493498, -26.69322241, -12.69796557, -10.90517642, -26.69322241, -5.756245589, -37.42580324, [-12.69796557 -5.756245589 -10.90517642 -26.69322241 -37.42580324 -16.85070824 -43.72453982 -21.58895652], [139.0563647 93.36675374 62.2897459 55.0068522 44.23346346 41.40091206 25.46135963 22.24855523], 1, 1, 1, 2, 0.2098, 6.6700, 22.9370, 52.9102, 170.5000, 45.0000, 13, 13, 13, 10, 8, 8, 7, 4, 4, 4, 4, 3, 3, 2, 2, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 8, 8, 6, 4, 4, 3, 2, 2, 2, 2, 2, 2, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
IC2247_i, OK, (no warnings),none ,none ,S-wise, S-wise, S-wise, Z-wise, true, 0.7119690118, 12.67314502, -0.9757961528, 0.948453159, 2.524264403, 8, 0.2086877996, 65.08944184, 311.8986446, -1.005661944, 201.9966307, 201.8513026, [400 400], 2.016413189, 0.01008206594, [282.9320082 -385.0438509;-385.0438509 645.9707368], 156, 0.7123914835, 0.0008555855668, 0.2666666667, -Inf, 1.061874032, 128.5932352, 128.3525572, false, false, false, false, '', '', 23.25, 7.397664, false, false, 90.05515259, 62.64700189, 52.83571732, 2, 4, 7, 65.80958113, 32.85674993, 51.40319961, 57.47257537, 75.91125433, 140.3042392, 658.0958113, 10, [6 4], [394.9617592 263.1340522], 2298.849459, 'disagree', -20.61075594, 1.978224567, 25.0857983, 22.55335239, 3.493183544, 26.58117578, 23.51777329, 12.8715025, 22.50318815, 14.79092352, 24.54475463, 22.71741096, 10.96891167, -20.61075594, 15.52045226, -29.88688973, 42.84332983, 15.11073829, 10.96891167, 42.84332983, 6.35445121, 44.52223109, [15.11073829 42.84332983 10.96891167 15.52045226 6.35445121 44.52223109], [90.05515259 75.91125433 62.64700189 62.03797173 52.90717901 51.40319961], 1, 1, 3, 2, 0.2413, 5.8543, 233.3798, 96.5898, 21.0000, 79.0000, 10, 10, 10, 8, 8, 5, 5, 3, 3, 3, 2, 2, 2, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 6, 6, 6, 6, 4, 4, 2, 2, 2, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
IC2247_r, OK, (no warnings),none ,none ,S-wise, S-wise, S-wise, S-wise, true, 0.6836430302, 13.02706431, -1.065448688, 0.946531731, 2.51660394, 8, 0.2045830221, 66.30377387, 324.0922595, -1.00530363, 202.1520241, 201.4195971, [400 400], 1.890725384, 0.00945362692, [305.9963336 -418.4956816;-418.4956816 699.8422652], 163, 0.7061660299, 0.0008045163867, 0.2784313725, -Inf, 1.071978626, 128.5099572, 128.620746, false, false, false, false, '', '', 23.28, 7.630007, false, false, 75.68559744, 60.24582949, 49.25628615, 3, 5, 8, 55.52698041, 14.56257455, 45.4521347, 54.12549801, 68.88916404, 86.1516002, 666.3237649, 12, [8 4], [474.0154362 192.3083287], 4030.166078, 'agree', 20.59933348, 2.730357282, 23.36810469, 19.57384648, 6.048360106, 27.42420427, 23.64672726, 15.1493211, 20.87120049, 15.66266446, 22.03860504, 19.70454654, 9.520604915, -15.34263628, 20.59933348, -30.03060648, 43.88860137, 16.96093692, 9.511765996, 43.88860137, 3.702543118, 46.48764465, [20.59933348 9.520604915 43.88860137 3.702543118 16.96093692 46.48764465 5.919341361 9.511765996], [86.1516002 79.86255238 75.68559744 60.24582949 55.84592655 52.40506948 49.25628615 14.56257455], 11, 7, 1, 1, 0.2476, 5.9643, 233.9003, 95.8008, 21.5000, 75.0000, 12, 12, 11, 10, 7, 6, 5, 3, 3, 3, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 8, 7, 7, 6, 5, 4, 3, 3, 3, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
IC2247_y, OK, findClusterArcs:deletedAClusterThatIntersectedTheCenter:size=2325|,none ,none ,S-wise, S-wise, S-wise, Z-wise, true, 0.7417586971, 9.437897431, -0.9567899747, 0.9380392157, 2.737597463, 8, 0.2314117861, 57.10495774, 246.7677153, -1.009323373, 201.6615602, 202.7132543, [400 400], 2.499543307, 0.01249771654, [174.3150692 -231.0193868;-231.0193868 396.2815655], 124, 0.6787426499, 0.001241269451, 0.2509803922, -Inf, 1.084344704, 128.0959189, 128.8826833, true, false, false, false, '', '', 15.49, 6.064907, false, false, 143.1078413, 62.2130644, 52.73085012, 1, 2, 4, 61.90652588, 24.19219035, 29.11581852, 56.40512037, 62.2130644, 143.1078413, 371.4391553, 6, [4 2], [204.1391237 167.3000316], 935.6285885, 'one-long', -15.65044375, 4.705988596, 18.65847763, 17.52334967, 2.518928269, 18.92592664, 17.99229168, 6.388516187, 18.66048524, 7.87228293, 22.50680675, 18.8552759, 10.46278283, -15.65044375, 14.72941874, -15.65044375, 30.66692825, 14.72941874, 14.23426885, 30.66692825, 10.46278283, 30.66692825, [14.23426885 30.66692825 14.72941874 10.46278283], [62.2130644 60.07939063 52.73085012 29.11581852], 1, 3, 1, 0, 0.5755, 7.2312, 217.6700, 28.2070, 5.5000, 29.0000, 6, 6, 6, 4, 4, 3, 3, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 4, 4, 3, 3, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
IC2247_z, OK, findClusterArcs:deletedAClusterThatIntersectedTheCenter:size=1440|,none ,none ,Z-wise, Z-wise, Z-wise, Z-wise, true, 0.6419835203, 10.27358096, -0.8852596673, 0.9434702183, 2.658434242, 8, 0.2096466037, 58.84397512, 280.6817477, -1.008908254, 201.6592882, 202.4200311, [400 400], 2.242870613, 0.01121435306, [223.6736093 -305.7545096;-305.7545096 516.8219834], 141, 0.6833659659, 0.00105663165, 0.2470588235, -Inf, 1.076118077, 128.1282524, 128.4695516, true, false, false, false, '', '', 22.16, 7.110936, false, false, 130.04876, 73.94990362, 29.54990111, 1, 3, 6, 48.34822295, 18.11309437, 25.67872423, 32.85255034, 73.94990362, 130.04876, 483.4822295, 10, [4 6], [207.5995553 275.8826742], -2709.563321, 'disagree', -13.41614116, -13.5165274, 26.30156763, -33.18174586, -5.604266621, 26.98565801, 23.34259533, 14.65458242, -25.36457462, 15.32998998, -27.40922986, -35.66042045, -13.41614116, 13.13540044, -13.41614116, 37.13692005, -45.09864135, -13.41614116, -13.41614116, -42.29674921, -11.23592325, -45.09864135, [-13.41614116 -45.09864135 -32.33436085 -11.23592325 -54.70865937 -42.29674921], [130.04876 42.36239727 36.15519956 29.54990111 19.65332189 18.11309437], 1, 1, 1, 1, 0.7844, 6.9704, 219.1938, 24.3203, 7.0000, 22.0000, 10, 10, 8, 4, 3, 3, 3, 3, 3, 2, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 6, 4, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
IC540_g, OK, (no warnings),none ,none ,Z-wise, Z-wise, Z-wise, Z-wise, true, 0.4439739597, 20.77145118, -1.24254039, 0.9472035794, 2.323199998, 8, 0.3012237185, 70.38818111, 233.6740993, -1.396301165, 201.0730239, 200.4069407, [400 400], 0.5805311279, 0.002902655639, [58.06277681 -76.40405759;-76.40405759 477.9983047], 117, 0.7800194343, 0.001070783927, 0.2643137255, -27183677.62, 1.057429325, 128.3199092, 128.5062467, false, false, false, false, '', '', 17.65, 5.608289, false, false, 179.4871302, 69.41443691, 41.44277486, 1, 2, 4, 57.59587309, 10.77854053, 22.13850927, 41.44277486, 64.78985944, 179.4871302, 403.1711117, 7, [2 5], [83.3372616 319.8338501], -1303.243741, 'agree', -12.76337154, 0.8864122372, 18.88447541, -12.59864422, -3.232482941, 19.04209252, 16.19941036, 10.51804818, -12.24757483, 3.365125622, -12.94157936, -12.69722065, -12.76337154, -4.466707628, -12.76337154, 20.03051048, -13.75335796, -12.76337154, -12.76337154, -13.25937241, -7.926214805, -13.75335796, [-12.76337154 -13.75335796 -7.926214805 -4.466707628 -24.08356916], [179.4871302 69.41443691 41.44277486 18.7109675 10.77854053], 1, 1, 3, 0, 3.0816, 4.8790, 259.4978, 33.0469, 69.5000, 61.0000, 7, 7, 5, 4, 3, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 5, 3, 3, 2, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
IC540_i, OK, (no warnings),none ,none ,Z-wise, Z-wise, Z-wise, Z-wise, true, 0.5193021295, 18.89741279, -1.271969572, 0.9434058555, 2.349592229, 8, 0.3045728654, 72.0884874, 236.6871629, -1.396567935, 200.7134771, 201.780752, [400 400], 1.298421408, 0.006492107039, [60.69303501 -78.32045185;-78.32045185 491.8773277], 119, 0.7738319427, 0.001026021859, 0.237254902, -25951590.32, 1.062925264, 128.8977043, 128.1063061, false, false, false, false, '', '', 16.33, 5.288868, false, false, 98.7228198, 98.7228198, 52.18630589, 1, 1, 2, 62.2654176, 35.88712709, 39.96192179, 52.18630589, 87.08869133, 98.7228198, 186.7962528, 3, [0 3], [0 186.7962528], -2304.125136, 'one-long', -5.495134121, -14.48567961, 14.48567961, -14.48567961, -12.33496444, 8.142262872, 12.33496444, 8.142262872, -12.33496444, 8.142262872, -13.7326268, -15.47827082, -5.495134121, -5.495134121, -24.49732625, -5.495134121, -24.49732625, -5.495134121, -5.495134121, -24.49732625, -5.495134121, -24.49732625, [-5.495134121 -24.49732625 -13.46457847], [98.7228198 52.18630589 35.88712709], 1, 1, 0, 0, 0.2023, 4.4441, 203.9826, 61.6172, 14.0000, 66.0000, 3, 3, 3, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 3, 3, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
IC540_r, OK, (no warnings),none ,none ,Z-wise, Z-wise, Z-wise, Z-wise, true, 0.4446597784, 21.60213556, -1.237607831, 0.9472040668, 2.307179953, 8, 0.2951547167, 74.62370729, 252.82912, -1.396205585, 200.6819106, 201.1575268, [400 400], 0.682226518, 0.00341113259, [66.67989176 -90.81416511;-90.81416511 565.5201441], 127, 0.7836701509, 0.0009267693453, 0.2564705882, -24006793.17, 1.060686672, 128.8328189, 128.6743527, false, false, false, false, '', '', 15.2, 5.590045, false, false, 52.23513112, 51.26956524, 36.1003425, 2, 3, 4, 40.60153479, 19.84325592, 31.90421552, 43.68495387, 52.23513112, 52.25669846, 243.6092088, 6, [2 4], [83.17378075 160.435428], -1759.164991, 'all-short', -21.91277205, -6.267767262, 14.76981426, -15.77818614, -7.221258179, 16.83082545, 16.96309238, 6.904835397, -18.36106456, 6.778789725, -20.84697473, -17.58473376, -12.45482962, 6.252843366, -21.91277205, 19.25329762, -24.10034257, -21.91277205, -12.45482962, -24.10034257, -4.644800324, -24.10034257, [-21.91277205 -24.10034257 -12.45482962 -4.644800324], [52.25669846 52.23513112 36.1003425 19.84325592], 3, 3, 3, 0, 3.2520, 4.2789, 262.0033, 28.8867, 72.0000, 54.0000, 6, 6, 5, 3, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 4, 3, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
IC540_y, OK, (no warnings),none ,none ,Z-wise, S-wise, S-wise, S-wise, true, 0.687242561, 12.28302962, -1.33902275, 0.9460668973, 2.473741875, 8, 0.3280234006, 66.03894389, 201.3238805, -1.394736669, 200.4588473, 202.8603795, [400 400], 2.360738215, 0.01180369107, [48.44116322 -55.22863456;-55.22863456 349.0607336], 101, 0.7452693014, 0.001288441696, 0.2470588235, -Inf, 1.068237046, 128.5043351, 128.839393, false, false, false, false, '', '', 15.33, 5.505658, false, false, 129.7247617, 129.7247617, 43.16213469, 1, 1, 2, 65.39524242, 23.2988309, 28.26465685, 43.16213469, 108.0841049, 129.7247617, 196.1857273, 3, [1 2], [129.7247617 66.46096559], 4.904335295, 'one-long', 10.52936064, -9.222013061, 16.24158682, 10.52936064, 0.02499843064, 14.89829604, 13.89975357, 5.362527444, 10.52936064, 0, 10.52936064, 10.52936064, 10.52936064, -14.47798063, 10.52936064, -23.71741919, 10.52936064, 10.52936064, 10.52936064, 10.52936064, 10.52936064, 10.52936064, 10.52936064, 129.7247617, 1, 0, 0, 0, 0.2072, 3.7654, 205.0875, 56.3008, 15.0000, 71.0000, 3, 3, 3, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
IC540_z, OK, (no warnings),none ,none ,Z-wise, Z-wise, Z-wise, Z-wise, true, 0.6161130807, 14.24942636, -1.212359489, 0.9482745098, 2.40737298, 8, 0.3056506287, 68.97613426, 225.669859, -1.394957774, 200.8057418, 202.4478129, [400 400], 1.971662492, 0.00985831246, [55.302615 -71.26847692;-71.26847692 443.7605312], 113, 0.7600559256, 0.001112699811, 0.2235294118, -28443172.1, 1.066141583, 128.0841181, 128.161025, false, false, false, false, '', '', 18.99, 6.026109, false, false, 105.449201, 47.71671863, 42.09180075, 1, 2, 3, 49.55095633, 18.60582067, 30.06988564, 42.09180075, 62.14983922, 105.449201, 247.7547817, 5, [1 4], [47.71671863 200.038063], -528.0413493, 'one-long', -3.355999308, -8.397535529, 22.19800633, -19.12221366, -2.13130639, 21.34771092, 15.42092239, 14.91517285, -10.86955288, 12.96039748, -9.687666297, -18.72288998, -3.355999308, -3.355999308, -11.75798542, 34.501177, -12.01093962, -3.355999308, -3.355999308, -12.01093962, -3.355999308, -12.01093962, [-3.355999308 -11.75798542 -12.01093962 -49.36393029], [105.449201 42.09180075 33.89124063 18.60582067], 1, 1, 1, 1, 0.1851, 4.6112, 203.5748, 60.2969, 13.5000, 68.0000, 5, 5, 4, 3, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 4, 3, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
